アイウエオ	0.9
カキクケコガギグゲゴ	0.9
カキクケコ	0.6
ガギグゲゴ	0.6
サシスセソザジズゼゾ	0.9
サシスセソ	0.6
ザジズゼゾ	0.6
タチツテトダヂヅデド	0.9
タチツテト	0.6
ダヂヅデド	0.6
ナニヌネノ	0.6
ハヒフヘホバビブベボパピプペポヴ	0.9
ハヒフヘホ	0.6
バビブベボ	0.6
パピプペポ	0.6
マミムメモ	0.6
ヤユヨャュョ	0.9
ヤユヨ	0.6
ャュョ	0.6
ラリルレロ	0.6
アァカガサザタダナハバパマヤャラワヮ	0.6
カガサザタダナハバパマヤラワ	0.8
イィキギシジチヂニヒビピミリ	0.6
キギシジチヂニヒビピミリ	0.8
ウゥクグスズツヅヌフブプムユュルヴ	0.6
クグスズツッヅヌフブプムユルヴ	0.8
エェケヶゲセゼテデネヘベペメレ	0.6
ケゲセゼテデネヘベペメレ	0.8
オォコゴソゾトドノホボポモヨロヲ	0.6
コゴソゾトドノホボポモヨョロヲ	0.8
アァ	0.2
イィ	0.2
ウゥ	0.2
エェ	0.2
オォ	0.2
アナ	0.4
イニ	0.4
ウヌ	0.4
エネ	0.4
オノ	0.4
アマ	0.4
イミ	0.4
ウム	0.4
エメ	0.4
オモ	0.4
ウヴ	0.3
カガ	0.3
キギ	0.3
クグ	0.3
ケゲ	0.3
コゴ	0.3
サザ	0.3
シジ	0.3
シチ	0.4
シヂ	0.4
ジヂ	0.1
スズ	0.3
ズヅ	0.1
セゼ	0.3
ソゾ	0.3
タダ	0.3
チヂ	0.3
チジ	0.4
ツヅ	0.3
ツッ	0.2
テデ	0.3
トド	0.3
ナマ	0.4
ニミ	0.4
ヌム	0.4
ネメ	0.4
ノモ	0.4
ハワ	0.4
ハバパ	0.3
ヒビピ	0.3
フブプ	0.3
ブヴ	0.1
ヘベペ	0.3
ホボポ	0.3
ヤャ	0.3
ユュ	0.3
ヨョ	0.3
アヤ	0.4
ウユ	0.4
オヨ	0.4
ァヤ	0.4
ゥユ	0.4
ォヨ	0.4
ァャ	0.4
ゥュ	0.4
ォョ	0.4
アワ	0.4
オヲ	0.1
ンヌ	0.4
ンウ	0.4
アー	0.4
イー	0.4
ウー	0.4
エー	0.4
オー	0.4
ァー	0.4
ィー	0.4
ゥー	0.4
ェー	0.4
ォー	0.4
ワヮ	0.2
カヵ	0.2
ケヶ	0.2
