0.9	.*((して(ね|よ|(くれ(よ(う|お|ぅ|ぉ)?)?)|(ください(よ(う|お|ぅ|ぉ)?|ね)?))?)|(しろ(よ|な|ってば?)?)|(やれ((よな?)|ってば?)?)|(やって(ね|よ|(ください(よ|ね)?))?))ー*
0.9	.*((す(る|ん)な(よな?|ってば?)?)|(しないで(ください(よ|ね)?)?))ー*
0.8	.*お(願|ねが)い(ね|します(よ|ね)?|だから(さ(あ|ー)?)?)?ー*
0.6	.*([えけげせぜてでねべめれ]て)(ね|よ|(くれ(よ(う|お|ぅ|ぉ)?)?)|(ください(よ(う|お|ぅ|ぉ)?|ね)?))?ー*
0.6	.*([いきしっみ見り]て)(ね|よ|(くれ(よ(う|お|ぅ|ぉ)?)?)|(ください(よ(う|お|ぅ|ぉ)?|ね)?))?ー*
0.6	.*([えけげせぜてでねべめれ]ろ)(よ(う|お|ぅ|ぉ)?)?ー*
0.6	.*([えけげせぜてでねべめれ])(よ(う|お|ぅ|ぉ)?)?ー*
0.6	.*(頼|たの)((む|みます)(よ|ね|から)?)ー*
0.5	.*お(願|ねが)い(します(よ|ね)?|だから(さ(あ|ー)?)?)?.*
0.4	.*(頼|たの)(む|みます).*
