1.0	.*(\?|？)
1.0	.*((なの|[てもは]いいの?)(か(なあ?)?)?|ですかね?|でしょうかね?|かなあ?|[^見み]っけ)
1.0	.*((誰|だれ)|(何(分|時間|日|か|カ|ヶ|人|台|枚))|(どこ|何処))(なんだ(よ|だろ(う(ね|な)?)?))?
0.9	.*(本当|マジ|まじ)(((な(の|ん))(ですか|でしょうか|かよ?)?)|(で(すか|しょうか)?))?
0.8	.*(どうして|なぜ|何故|なんで[^すも]).*
0.8	.*(教えて|おしえて|答えて|こたえて|(回答|解答)して)(くれ|下さい|ください|ちょうだい|しろ|して)?(よ|な|ね)?[ー〜]*
0.8	.*(何|なに)(なの|ですか|でしょうか|なん(だよ?)?)?
0.0	.*(こんにちは|こんばんは).*
0.7	.*は
0.7	.*((いく|幾)つ|(いく|幾)ら|どの([くぐ]らい|位)|(どの)|(どうやって|どのようにして)|(どうすれば|どうしたら)|(どこで)|((誰|だれ|どの人|どいつ|どなた)が)).*
0.5	.*(([たうくすつぬむるいん]|(誰|だれ)|(何|なに))の).*
0.5	.*(理由|(誰|だれ)|(何(秒|分|時間|日|年|か|カ|ヶ|個|人|台|枚))|どっち|(何処|どこ)|(何時|いつ)|どう).*
0.4	.*((思|おも)((う(の|か)?)|(います(かね?)?)?|(わ(ない|んか?|(ね[えぇー〜]*)))))(\?|？)?
0.0	.*(何(様|卒|でも|より|なり|かしら)).*
0.3	.*(何).*
